Software,Sistema,Matrice,Dimensione,Errore Relativo,Tempo Esecuzione (sec),Memoria (MB)
Python,Windows,cfd1.mtx,"(70656, 70656)",4.842810521823822e-14,0:00:35.946074,1390.70703125
Python,Windows,cfd2.mtx,"(123440, 123440)",5.721624217713897e-13,0:01:42.095541,2746.65625
Python,Windows,ex15.mtx,"(6867, 6867)",1.2618047170966134e-06,0:00:01.709710,84.23046875
Python,Windows,parabolic_fem.mtx,"(525825, 525825)",1.0375330045795177e-12,0:00:28.732258,1401.33984375
Python,Windows,shallow_water1.mtx,"(81920, 81920)",2.789174265584427e-16,0:00:02.499341,214.6875
