Software,Sistema,Matrice,Errore Relativo,Tempo Esecuzione (sec),Memoria (MB)
MATLAB,Windows,cfd1.mat,3.48159e-13,6.06,1271.11
MATLAB,Windows,cfd2.mat,8.59713e-13,11.30,2484.20
MATLAB,Windows,ex15.mat,8.57357e-07,0.06,7.53
MATLAB,Windows,shallow_water1.mat,3.20032e-16,3.80,366.15
